Contrapartes;Ativacao
ABG Sundal Collier ASA;Ativado
Banco Bradesco S/A;Ativado
Bank of America Securities;Ativado
Barclays Bank PLC;Ativado
BCP Securities, LLC;Ativado
BNP Paribas;Ativado
BTG Pactual US Capital LLC;Ativado
CLSA Americas, Securities;Ativado
Credit Agricole Private Banking Miami;Ativado
Deutsche Bank Wealth Management;Ativado
Goldman Sachs & Co. LLC;Ativado
HSBC Private Bank;Ativado
HSBC Securities (USA);Ativado
Imperial Capital LLC;Ativado
Itau Unibanco S/A - Nassau Branch;Ativado
Jeffries LLC;Ativado
JP Morgan Private Bank;Ativado
Nomura Securities International, Inc.;Ativado
Pareto Securities AS;Ativado
SMBC Nikko Securities  America Inc.;Ativado
StoneX Financial Inc. - former GMP Securities LLC;Ativado
XP Securities, LLC;Ativado
